_id,endPoint,name
655a296ac773a5d5bac0fec5,https://research.com/u/anil-k-jain,Anil K. Jain
655a296ac773a5d5bac0fec7,https://research.com/u/yoshua-bengio,Yoshua Bengio
655a296ac773a5d5bac0fec9,https://research.com/u/jiawei-han,Jiawei Han
655a296ac773a5d5bac0fecb,https://research.com/u/michael-i-jordan,Michael I. Jordan
655a296ac773a5d5bac0fecd,https://research.com/u/andrew-zisserman,Andrew Zisserman
655a296ac773a5d5bac0fecf,https://research.com/u/philip-s-yu,Philip S. Yu
655a296ac773a5d5bac0fed1,https://research.com/u/thomas-s-huang,Thomas S. Huang
655a296ac773a5d5bac0fed3,https://research.com/u/takeo-kanade,Takeo Kanade
655a296ac773a5d5bac0fed5,https://research.com/u/francisco-herrera,Francisco Herrera
655a296ac773a5d5bac0fed7,https://research.com/u/wil-m-p-van-der-aalst,Wil M. P. van der Aalst
655a296ac773a5d5bac0fed9,https://research.com/u/rajkumar-buyya,Rajkumar Buyya
655a296ac773a5d5bac0fedb,https://research.com/u/bernhard-scholkopf,Bernhard Schölkopf
655a296ac773a5d5bac0fedd,https://research.com/u/geoffrey-hinton,Geoffrey E. Hinton
655a296ac773a5d5bac0fedf,https://research.com/u/sebastian-thrun,Sebastian Thrun
655a296ac773a5d5bac0fee1,https://research.com/u/scott-shenker,Scott Shenker
655a296ac773a5d5bac0fee3,https://research.com/u/georgios-b-giannakis,Georgios B. Giannakis
655a296ac773a5d5bac0fee5,https://research.com/u/eric-horvitz,Eric Horvitz
655a296ac773a5d5bac0fee7,https://research.com/u/jitendra-malik,Jitendra Malik
655a296ac773a5d5bac0fee9,https://research.com/u/ion-stoica,Ion Stoica
655a296ac773a5d5bac0feeb,https://research.com/u/jay-s-walker,Jay S. Walker
655a296ac773a5d5bac0feed,https://research.com/u/trevor-darrell,Trevor Darrell
655a296ac773a5d5bac0feef,https://research.com/u/christos-faloutsos,Christos Faloutsos
655a296ac773a5d5bac0fef1,https://research.com/u/gilbert-laporte,Gilbert Laporte
655a296ac773a5d5bac0fef3,https://research.com/u/dacheng-tao,Dacheng Tao
655a296ac773a5d5bac0fef5,https://research.com/u/christopher-d-mannin,Christopher D. Manning
655a296ac773a5d5bac0fef7,https://research.com/u/hector-garcia-molina,Hector Garcia-Molina
655a296ac773a5d5bac0fef9,https://research.com/u/klaus-robert-muller,Klaus-Robert Müller
655a296ac773a5d5bac0fefb,https://research.com/u/ian-foster,Ian Foster
655a296ac773a5d5bac0fefd,https://research.com/u/alex-sandy-pentland,Alex Pentland
655a296ac773a5d5bac0feff,https://research.com/u/lei-zhang-1,Lei Zhang
655a296ac773a5d5bac0ff01,https://research.com/u/cordelia-schmid,Cordelia Schmid
655a296ac773a5d5bac0ff03,https://research.com/u/xiaoou-tang,Xiaoou Tang
655a296ac773a5d5bac0ff05,https://research.com/u/robert-heath,Robert W. Heath
655a296ac773a5d5bac0ff07,https://research.com/u/luc-van-gool,Luc Van Gool
655a296ac773a5d5bac0ff09,https://research.com/u/don-towsley,Don Towsley
655a296ac773a5d5bac0ff0b,https://research.com/u/leonidas-guibas,Leonidas J. Guibas
655a296ac773a5d5bac0ff0d,https://research.com/u/tomaso-poggio,Tomaso Poggio
655a296ac773a5d5bac0ff0f,https://research.com/u/ian-f-akyildiz,Ian F. Akyildiz
655a296ac773a5d5bac0ff11,https://research.com/u/xiaogang-wang-1,Xiaogang Wang
655a296ac773a5d5bac0ff13,https://research.com/u/zeshui-xu,Zeshui Xu
655a296ac773a5d5bac0ff15,https://research.com/u/ming-hsuan-yang-1,Ming-Hsuan Yang
655a296ac773a5d5bac0ff17,https://research.com/u/jack-dongarra,Jack Dongarra
655a296ac773a5d5bac0ff19,https://research.com/u/yi-yang,Yi Yang
655a296ac773a5d5bac0ff1b,https://research.com/u/xuemin-shen,Xuemin Shen
655a296ac773a5d5bac0ff1d,https://research.com/u/zidong-wang,Zidong Wang
655a296ac773a5d5bac0ff1f,https://research.com/u/nicholas-r-jennings,Nicholas R. Jennings
655a296ac773a5d5bac0ff21,https://research.com/u/rama-chellappa,Rama Chellappa
655a296ac773a5d5bac0ff23,https://research.com/u/pieter-abbeel,Pieter Abbeel
655a296ac773a5d5bac0ff25,https://research.com/u/daphne-koller,Daphne Koller
655a296ac773a5d5bac0ff27,https://research.com/u/alex-smola,Alexander J. Smola
655a296ac773a5d5bac0ff29,https://research.com/u/ronald-r-yager,Ronald R. Yager
655a296bc773a5d5bac0ff2b,https://research.com/u/bernt-schiele,Bernt Schiele
655a296bc773a5d5bac0ff2d,https://research.com/u/albert-laszlo-barabasi,Albert-László Barabási
655a296bc773a5d5bac0ff2f,https://research.com/u/andrew-ng,Andrew Y. Ng
655a296bc773a5d5bac0ff31,https://research.com/u/deborah-estrin,Deborah Estrin
655a296bc773a5d5bac0ff33,https://research.com/u/shuicheng-yan,Shuicheng Yan
655a296bc773a5d5bac0ff35,https://research.com/u/hongjiang-zhang,Hong-Jiang Zhang
655a296bc773a5d5bac0ff37,https://research.com/u/hari-balakrishnan,Hari Balakrishnan
655a296bc773a5d5bac0ff39,https://research.com/u/richard-szeliski,Richard Szeliski
655a296bc773a5d5bac0ff3b,https://research.com/u/qiang-yang,Qiang Yang
655a296bc773a5d5bac0ff3d,https://research.com/u/christos-papadimitri,Christos H. Papadimitriou
655a296bc773a5d5bac0ff3f,https://research.com/u/dawn-song,Dawn Song
655a296bc773a5d5bac0ff41,https://research.com/u/athanasios-vasilakos,Athanasios V. Vasilakos
655a296bc773a5d5bac0ff43,https://research.com/u/david-culler,David E. Culler
655a296bc773a5d5bac0ff45,https://research.com/u/ben-shneiderman,Ben Shneiderman
655a296bc773a5d5bac0ff47,https://research.com/u/shih-fu-chang,Shih-Fu Chang
655a296bc773a5d5bac0ff49,https://research.com/u/kalyanmoy-deb,Kalyanmoy Deb
655a296bc773a5d5bac0ff4b,https://research.com/u/terrence-sejnowski,Terrence J. Sejnowski
655a296bc773a5d5bac0ff4d,https://research.com/u/dan-boneh,Dan Boneh
